Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,Rekdg,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,Rekdg,I007I
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,double_jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,dodge_active,jump_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.479520320892334,0.03662170097231865,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.5186591148376465,0.03913870081305504,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.555463790893555,0.03680479899048805,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.593260765075684,0.03779739886522293,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.630753040313721,0.03749210014939308,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.669214725494385,0.038461700081825256,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.702836036682129,0.033621300011873245,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.7408905029296875,0.038054101169109344,300,,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.77625846862793,0.035367999225854874,300,3.0,,,,
0.0,4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,-4608.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.818131446838379,0.041872598230838776,300,3.0,,,,
